Order,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
103,SR-YZB,SRYZB0103,2007,SRYZB01,WS0725,26.48 ,30.91 ,23.33 ,3150.6,1960.6,639.3,594.2,1724.09,Paddy soils,clay loam,17.5,9.7,109,6.5,210,72,180,9000
104,SR-YZB,SRYZB0104,2007,SRYZB01,WS0725,26.48 ,30.91 ,23.33 ,3150.6,1960.6,639.3,594.2,1724.09,Paddy soils,silty clay loam,14.8,11.5,105,6.3,210,72,180,7958
105,SR-YZB,SRYZB0105,2008,SRYZB01,WS0755,26.70 ,30.96 ,23.75 ,3016.7,1886.7,569.4,520.5,1595.12,Paddy soils,loam,24.5,8.5,50,5.3,240,75,165,9880
106,SR-YZB,SRYZB0106,2008,SRYZB01,WS0755,27.01 ,31.37 ,24.01 ,2782,1752,533.8,502.9,1498.79,Paddy soils,clay loam,42,3.9,134,6.4,240,75,165,9509
107,SR-YZB,SRYZB0107,2006,SRYZB01,WS0783,26.25 ,31.46 ,22.37 ,3333.9,2063.9,454,771.6,2054.98,Paddy soils,silty clay loam,9.5,10.2,45,5.4,240,90,105,8885
108,SR-YZB,SRYZB0108,2007,SRYZB01,WS0783,25.72 ,30.53 ,22.22 ,3472.4,2122.4,563.9,780.1,2098.2,Paddy soils,silty clay loam,11.1,10.2,76,5.6,240,90,98,8439
109,SR-YZB,SRYZB0109,2007,SRYZB01,WS0783,25.63 ,30.45 ,22.13 ,3459.7,2109.7,563.9,776.3,2086.83,Paddy soils,silty clay loam,10.9,9.6,65,5.6,240,90,98,8406
110,SR-YZB,SRYZB0110,2008,SRYZB01,WS0783,25.30 ,29.95 ,21.96 ,3389.9,2049.9,625,721,1995.84,Paddy soils,clay loam,11.8,13.8,74,5.7,240,90,135,8418
111,SR-YZB,SRYZB0111,2008,SRYZB01,WS0783,26.27 ,30.77 ,23.06 ,2995.3,1855.3,602.6,608.2,1734.03,Paddy soils,loam,11.8,13.8,74,5.7,240,90,135,8379
112,SR-YZB,SRYZB0112,2009,SRYZB01,WS0783,26.46 ,31.08 ,23.05 ,3202.1,1992.1,707.5,666.1,1860.66,Paddy soils,loam,10.9,7.4,46,5.8,225,90,98,8138
113,SR-YZB,SRYZB0113,2010,SRYZB01,WS0783,26.84 ,31.53 ,23.44 ,3086.1,1936.1,757.5,683.8,1857.43,Paddy soils,loam,11.5,14.6,69,5.9,240,90,90,7983
114,SR-YZB,SRYZB0114,2008,SRYZB01,WS0780,26.13 ,32.10 ,22.57 ,3501.3,2161.3,924.6,702.7,2039.47,Paddy soils,clay loam,29.6,19.3,78,6,143,60,90,7353
115,SR-YZB,SRYZB0115,2008,SRYZB01,WS0780,26.13 ,32.10 ,22.57 ,3501.3,2161.3,924.6,702.7,2039.47,Paddy soils,loamy sand,22.5,26.9,42,5.7,180,72,150,7740
116,SR-YZB,SRYZB0116,2009,SRYZB01,WS0780,25.75 ,32.06 ,21.67 ,3192.6,1952.6,720.4,672.4,1974.46,Paddy soils,sandy loam,19.1,12.9,78,5.6,150,60,105,7454
117,SR-YZB,SRYZB0117,2009,SRYZB01,WS0780,25.75 ,32.06 ,21.67 ,3192.6,1952.6,720.4,672.4,1974.46,Paddy soils,sandy loam,17.2,13.6,79,5.6,150,60,105,7454
118,SR-YZB,SRYZB0118,2008,SRYZB01,WS0780,26.13 ,32.10 ,22.57 ,3501.3,2161.3,924.6,702.7,2039.47,Paddy soils,sandy loam,25,10.8,35,6.4,165,60,105,7905
119,SR-YZB,SRYZB0119,2008,SRYZB01,WS0780,26.13 ,32.10 ,22.57 ,3501.3,2161.3,924.6,702.7,2039.47,Paddy soils,silty clay loam,45.7,15.7,93,5.6,165,68,143,7362
120,SR-YZB,SRYZB0120,2009,SRYZB01,WS0780,25.75 ,32.06 ,21.67 ,3192.6,1952.6,720.4,672.4,1974.46,Paddy soils,silty clay loam,20.1,32.9,81,5.4,150,90,120,8073
121,SR-YZB,SRYZB0121,2008,SRYZB01,WS0780,26.13 ,32.10 ,22.57 ,3501.3,2161.3,924.6,702.7,2039.47,Paddy soils,loam,20.2,24.6,63,6.1,143,62,128,7551
122,SR-YZB,SRYZB0122,2009,SRYZB01,WS0780,25.75 ,32.06 ,21.67 ,3192.6,1952.6,720.4,672.4,1974.46,Paddy soils,clay loam,21.2,20.7,115,6.8,150,60,90,7737
123,SR-YZB,SRYZB0123,2008,SRYZB01,WS0780,26.13 ,32.10 ,22.57 ,3501.3,2161.3,924.6,702.7,2039.47,Paddy soils,silty clay loam,33.9,19.2,96,5.9,165,68,143,6705
124,SR-YZB,SRYZB0124,2009,SRYZB01,WS0780,27.15 ,32.75 ,23.78 ,2524.6,1594.6,541.9,466.1,1366.75,Paddy soils,silty clay loam,32.2,5,72,5.8,150,75,90,7017
125,SR-YZB,SRYZB0125,2009,SRYZB01,WS0780,25.75 ,32.06 ,21.67 ,3192.6,1952.6,720.4,672.4,1974.46,Paddy soils,silty clay loam,21.3,11.3,79,6.1,143,75,120,7804
