Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk,
83,W-NCP,WNCP0083,2009,WNCP01,WS0035,7.82 ,13.06 ,3.55 ,2215.8,870.4,119.8,1593.2,3200.88,Cinnamon soils,loamy sand,14.7,6,109,8,180,150,120,5190,
84,W-NCP,WNCP0084,2009,WNCP01,WS0035,7.76 ,13.00 ,3.49 ,2191.5,856.1,116.5,1584.1,3179.05,Cinnamon soils,loamy sand,21.5,6.4,133,7.6,180,150,120,7350,
85,W-NCP,WNCP0085,2009,WNCP01,WS0035,7.82 ,13.06 ,3.55 ,2215.8,870.4,119.8,1593.2,3200.88,Cinnamon soils,loamy sand,18.2,7.2,163,8,180,150,120,6990,
86,W-NCP,WNCP0086,2005,WNCP01,WS0030,8.42 ,14.89 ,2.94 ,2322.9,792.3,123.3,1652.8,3218.59,Cinnamon soils,loam,18.2,26.4,130,8.3,180,150,120,6090,
87,W-NCP,WNCP0087,2005,WNCP01,WS0030,8.44 ,14.91 ,2.95 ,2328.5,797.9,123.3,1654.9,3227.93,Cinnamon soils,loam,16.2,17.3,110,8.2,180,150,120,8175,
88,W-NCP,WNCP0088,2006,WNCP01,WS0030,9.51 ,15.76 ,4.03 ,2501,980,139.1,1491.3,3068.51,Cinnamon soils,loam,14.7,15.2,70,8.1,180,150,120,7488,
89,W-NCP,WNCP0089,2006,WNCP01,WS0030,9.35 ,15.60 ,3.88 ,2433.4,942.4,139.1,1468.5,3019.76,Cinnamon soils,loamy sand,17.8,40.9,200,8.2,180,150,120,7356,
90,W-NCP,WNCP0090,2006,WNCP01,WS0030,9.42 ,15.67 ,3.94 ,2460.1,959.1,139.1,1479.9,3045.19,Cinnamon soils,loam,15.4,31.9,80,8.1,180,150,120,7355,
91,W-NCP,WNCP0091,2007,WNCP01,WS0030,8.32 ,14.45 ,3.23 ,2270.3,761.4,234.5,1513.4,3098.7,Cinnamon soils,loam,18.2,26.4,130,8.3,180,150,120,6537,
92,W-NCP,WNCP0092,2007,WNCP01,WS0030,8.34 ,14.50 ,3.23 ,2265.6,766.7,228.6,1518.3,3107.6,Cinnamon soils,loamy sand,22.5,23,110,7.9,180,150,120,7073,
93,W-NCP,WNCP0093,2007,WNCP01,WS0030,8.32 ,14.45 ,3.23 ,2270.3,761.4,234.5,1513.4,3098.7,Cinnamon soils,loamy sand,19.1,31.9,79,8,225,60,150,5592,
94,W-NCP,WNCP0094,2008,WNCP01,WS0030,8.96 ,15.78 ,3.38 ,2390.5,899.3,94.9,1718.5,3278.47,Cinnamon soils,loamy sand,20.8,41,90,7.9,180,150,120,6647,
95,W-NCP,WNCP0095,2008,WNCP01,WS0030,9.03 ,15.85 ,3.45 ,2417.4,916.2,94.9,1725.8,3297.46,Cinnamon soils,sandy clay loam,16.8,41,110,8.2,180,150,120,5688,
96,W-NCP,WNCP0096,2009,WNCP01,WS0030,6.71 ,12.62 ,1.86 ,1986.1,730.2,113.3,1435,2961.76,Cinnamon soils,loam,17.9,22,120,8,180,150,120,7323,
97,W-NCP,WNCP0097,2009,WNCP01,WS0030,6.71 ,12.63 ,1.85 ,1980.3,734.4,113.3,1436,2964.41,Cinnamon soils,loamy sand,20.8,41,90,7.9,180,150,120,7239,
98,W-NCP,WNCP0098,2009,WNCP01,WS0030,6.67 ,12.58 ,1.82 ,1969.7,723.8,113.3,1426.6,2946.7,Cinnamon soils,loamy sand,10.7,31.9,79,8.2,180,150,120,5679,
99,W-NCP,WNCP0099,2009,WNCP01,WS0030,6.71 ,12.63 ,1.85 ,1980.3,734.4,113.3,1436,2964.41,Cinnamon soils,loam,15.1,21.8,100,8.2,180,150,120,5415,
100,W-NCP,WNCP0100,2009,WNCP01,WS0030,6.55 ,12.47 ,1.70 ,1926.3,700.4,113.3,1417.8,2920.79,Cinnamon soils,loam,16.2,17.9,82,8,180,150,120,5885,
101,W-NCP,WNCP0101,2009,WNCP01,WS0030,6.55 ,12.47 ,1.70 ,1926.3,700.4,113.3,1417.8,2920.79,Cinnamon soils,loam,14.7,14.7,70,8.1,180,150,120,7325,
102,W-NCP,WNCP0102,2009,WNCP01,WS0030,6.75 ,12.68 ,1.89 ,2003.3,737.4,113.3,1444.3,2978.04,Cinnamon soils,loam,21.6,21.2,100,8,225,60,150,8124,
103,W-NCP,WNCP0103,2007,WNCP01,WS0025,8.97 ,14.46 ,4.61 ,2308.8,817.2,169,1374.34,2877.13,Fluvo-aquic soils,loamy sand,14.8,20,80,8.2,180,150,120,4910,
104,W-NCP,WNCP0104,2008,WNCP01,WS0025,9.31 ,15.42 ,4.29 ,2366.9,889.6,97.2,1618.5,3127.39,Fluvo-aquic soils,loamy sand,17.3,70,82,7.9,180,150,120,7139,
105,W-NCP,WNCP0105,2008,WNCP01,WS0025,9.25 ,15.34 ,4.24 ,2333.1,875.8,97.2,1602,3099.18,Fluvo-aquic soils,loamy sand,15.3,73,74,8,180,150,120,6513,
106,W-NCP,WNCP0106,2008,WNCP01,WS0025,9.39 ,15.51 ,4.37 ,2406.2,908.9,97.2,1632.7,3160.01,Fluvo-aquic soils,loam,21.1,32,70,7.9,225,150,150,6830,
107,W-NCP,WNCP0107,2008,WNCP01,WS0025,9.48 ,15.60 ,4.44 ,2455.4,928.1,97.2,1649.6,3193.85,Fluvo-aquic soils,loamy sand,14.8,20,80,8.2,180,150,120,6789,
108,W-NCP,WNCP0108,2008,WNCP01,WS0025,9.38 ,15.50 ,4.36 ,2413.1,905.8,97.2,1632.1,3156.98,Fluvo-aquic soils,loamy sand,15,11,80,8.3,180,150,120,7133,
109,W-NCP,WNCP0109,2008,WNCP01,WS0025,9.45 ,15.56 ,4.41 ,2438.2,920.9,97.2,1642.1,3180.2,Fluvo-aquic soils,loamy sand,13.7,19,40,8.3,180,150,120,7119,
110,W-NCP,WNCP0110,2009,WNCP01,WS0025,7.60 ,12.80 ,3.42 ,2156,843.6,91.6,1502.1,3064.82,Fluvo-aquic soils,loamy sand,22.1,27.4,80,8.1,180,150,120,7004,
111,W-NCP,WNCP0111,2009,WNCP01,WS0025,6.84 ,12.04 ,2.69 ,1895.5,683.1,90.7,1422.7,2864.98,Fluvo-aquic soils,loamy sand,17.2,26,140,8.1,180,150,120,6774,
112,W-NCP,WNCP0112,2009,WNCP01,WS0025,7.53 ,12.73 ,3.34 ,2122.6,830.2,91.1,1493,3044.65,Fluvo-aquic soils,loamy sand,24.1,34.7,90,8.1,225,150,150,7179,
113,W-NCP,WNCP0113,2009,WNCP01,WS0025,7.60 ,12.80 ,3.42 ,2156,843.6,91.6,1502.1,3064.82,Fluvo-aquic soils,loamy sand,24.6,34.3,70,8.1,225,150,150,7412,
114,W-NCP,WNCP0114,2009,WNCP01,WS0025,7.53 ,12.73 ,3.34 ,2122.6,830.2,91.1,1493,3044.65,Fluvo-aquic soils,loamy sand,17.8,25.7,90,8.1,180,150,120,7478,
115,W-NCP,WNCP0115,2009,WNCP01,WS0025,7.64 ,12.83 ,3.47 ,2172.7,850.3,91.6,1502.1,3069.39,Fluvo-aquic soils,loam,27.4,40.8,100,7.9,225,150,150,7224,
116,W-NCP,WNCP0116,2009,WNCP01,WS0025,7.67 ,12.87 ,3.50 ,2190,857.6,91.6,1511,3085.07,Fluvo-aquic soils,loamy sand,15.3,30,90,8.1,180,150,120,6861,
117,W-NCP,WNCP0117,2009,WNCP01,WS0025,7.67 ,12.87 ,3.50 ,2190,857.6,91.6,1511,3085.07,Fluvo-aquic soils,loamy sand,13.1,26.5,80,8.1,180,150,120,7010,
118,W-NCP,WNCP0118,2009,WNCP01,WS0025,7.67 ,12.87 ,3.50 ,2190,857.6,91.6,1511,3085.07,Fluvo-aquic soils,loamy sand,16.6,26.9,80,8.1,180,150,120,7215,
119,W-NCP,WNCP0119,2009,WNCP01,WS0025,6.51 ,11.72 ,2.36 ,1788.4,616,82.8,1383.2,2764.44,Fluvo-aquic soils,loamy sand,16.2,29.3,80,8.1,180,150,120,7283,
120,W-NCP,WNCP0120,2007,WNCP01,WS0025,9.04 ,14.55 ,4.68 ,2363.4,831.8,169,1396.44,2920.47,Fluvo-aquic soils,loam,21.1,32,70,7.9,225,150,150,6380,
121,W-NCP,WNCP0121,2007,WNCP01,WS0025,8.99 ,14.49 ,4.62 ,2322.6,821,169,1383.74,2892.44,Fluvo-aquic soils,loamy sand,13.7,19,40,8.3,180,150,120,7220,
122,W-NCP,WNCP0122,2007,WNCP01,WS0166,9.01 ,14.55 ,4.51 ,2289.7,814.5,165.4,1658.5,3208.52,Fluvo-aquic soils,loam,16.2,30.9,80,8.7,225,120,90,7080,
123,W-NCP,WNCP0123,2007,WNCP01,WS0166,8.96 ,14.44 ,4.52 ,2349.8,794.6,168.7,1676.3,3237.22,Fluvo-aquic soils,loamy sand,12.3,24.6,70,8.8,225,120,90,7635,
124,W-NCP,WNCP0124,2007,WNCP01,WS0166,8.59 ,14.10 ,4.12 ,2111.4,726.2,143.6,1589,3061.69,Fluvo-aquic soils,loam,9.8,16.1,130,8.6,180,120,90,6383,
125,W-NCP,WNCP0125,2007,WNCP01,WS0166,8.93 ,14.48 ,4.43 ,2253.1,797.9,165.4,1641.8,3174.65,Fluvo-aquic soils,loam,17.3,27.3,160,8.5,180,120,90,6203,
126,W-NCP,WNCP0126,2007,WNCP01,WS0166,9.06 ,14.59 ,4.57 ,2309.4,824.2,170.8,1658.5,3216.04,Fluvo-aquic soils,loamy sand,9.6,49.9,110,8.8,225,120,90,7971,
