crop,Tave_high,Tmax_high,Tmin_high,GDD>0_high,GDD>10_high,PRE_high,SSD_high,RAD_high,Tave_low,Tmax_low,Tmin_low,GDD>0_low,GDD>10_low,PRE_low,SSD_low,RAD_low
ER-SC,25.9 ,30.0 ,22.9 ,2230.9 ,1370.9 ,1133.8 ,342.7 ,1185.1 ,25.9 ,30.0 ,22.9 ,2230.9 ,1370.9 ,1133.8 ,342.7 ,1185.1 
ER-SC,25.3 ,30.1 ,22.0 ,2305.8 ,1395.8 ,836.5 ,325.9 ,1191.7 ,25.1 ,29.6 ,21.8 ,2210.0 ,1330.0 ,620.4 ,310.5 ,1142.9 
ER-SC,24.4 ,29.4 ,20.7 ,1979.6 ,1169.6 ,837.8 ,439.0 ,1304.1 ,25.5 ,29.5 ,22.5 ,2063.1 ,1253.1 ,1081.8 ,339.4 ,1144.3 
ER-SC,25.0 ,29.7 ,21.5 ,2050.2 ,1230.2 ,733.7 ,356.0 ,1177.5 ,25.1 ,29.7 ,21.8 ,2188.0 ,1318.0 ,1009.1 ,311.0 ,1139.6 
LR-SC,25.9 ,32.0 ,21.9 ,2741.2 ,1681.2 ,324.8 ,686.3 ,1724.7 ,26.0 ,32.0 ,22.1 ,2758.8 ,1698.8 ,324.8 ,678.1 ,1718.1 
LR-SC,24.1 ,29.1 ,20.6 ,2843.4 ,1663.4 ,353.0 ,648.7 ,1605.5 ,24.6 ,29.7 ,21.1 ,2719.9 ,1614.9 ,343.1 ,618.3 ,1548.2 
LR-SC,26.2 ,31.8 ,22.2 ,2409.9 ,1489.9 ,178.6 ,631.6 ,1454.8 ,26.2 ,31.8 ,22.2 ,2409.9 ,1489.9 ,178.6 ,631.6 ,1454.8 
LR-SC,25.5 ,30.0 ,22.2 ,2360.3 ,1435.3 ,244.5 ,516.0 ,1374.9 ,26.4 ,30.9 ,23.1 ,2188.6 ,1358.6 ,200.7 ,439.8 ,1241.5 
LR-SC,25.4 ,29.4 ,22.0 ,2347.1 ,1423.8 ,,535.6 ,1448.5 ,25.2 ,30.5 ,21.4 ,2144.6 ,1294.6 ,,484.5 ,1291.9 
LR-SC,25.1 ,29.9 ,21.6 ,2449.0 ,1474.0 ,183.9 ,540.2 ,1438.9 ,25.9 ,30.6 ,22.4 ,2266.3 ,1391.3 ,224.0 ,401.4 ,1184.5 
