Sort,Crop,NO,Year,Province,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
56,M-SWC,MSWC0056,2007,MSWC01,20.1 ,25.0 ,16.6 ,3317.8 ,1682.0 ,967.2 ,645.3 ,2208.6 ,late_maturity,Limestone soils,,25.9 ,3.6 ,162.0 ,6.4 ,210 ,135 ,210 ,5670 ,8362 
57,M-SWC,MSWC0057,2007,MSWC01,19.4 ,24.3 ,15.9 ,3594.8 ,1772.4 ,982.2 ,703.8 ,2422.2 ,medium_maturity,Yellow earths,,19.0 ,30.6 ,122.0 ,5.6 ,210 ,135 ,210 ,5242 ,10673 
58,M-SWC,MSWC0058,2009,MSWC01,19.0 ,23.4 ,16.2 ,2869.4 ,1359.5 ,662.3 ,702.5 ,2200.3 ,medium_maturity,Yellow earths,,37.7 ,16.8 ,106.0 ,6.3 ,210 ,135 ,210 ,4898 ,7667 
59,M-SWC,MSWC0059,2009,MSWC01,18.8 ,23.2 ,16.0 ,2907.7 ,1357.8 ,714.0 ,719.5 ,2258.9 ,medium_maturity,Yellow earths,,15.0 ,12.2 ,104.0 ,6.6 ,210 ,135 ,210 ,4713 ,9731 
60,M-SWC,MSWC0060,2009,MSWC01,19.0 ,23.3 ,16.2 ,2904.1 ,1374.2 ,674.8 ,709.9 ,2225.9 ,medium_maturity,Yellow earths,,30.4 ,42.2 ,157.0 ,6.6 ,180 ,120 ,180 ,4073 ,8073 
61,M-SWC,MSWC0061,2009,MSWC01,19.0 ,23.4 ,16.2 ,2868.6 ,1358.7 ,674.8 ,712.9 ,2219.6 ,medium_maturity,Yellow earths,,26.5 ,7.6 ,130.0 ,6.4 ,180 ,120 ,180 ,4016 ,7398 
62,M-SWC,MSWC0062,2009,MSWC01,19.0 ,23.3 ,16.2 ,2939.5 ,1389.6 ,689.7 ,727.2 ,2267.3 ,medium_maturity,Yellow earths,,15.9 ,11.0 ,208.0 ,5.4 ,210 ,135 ,210 ,4839 ,9011 
63,M-SWC,MSWC0063,2009,MSWC01,18.9 ,23.3 ,16.1 ,3028.2 ,1428.3 ,705.9 ,744.8 ,2322.8 ,medium_maturity,Yellow earths,,32.3 ,32.5 ,110.0 ,6.4 ,180 ,120 ,180 ,4292 ,7980 
64,M-SWC,MSWC0064,2009,MSWC01,18.8 ,23.3 ,16.0 ,3147.8 ,1477.9 ,721.7 ,781.1 ,2423.4 ,medium_maturity,Yellow earths,,32.7 ,23.7 ,190.0 ,6.8 ,225 ,150 ,240 ,5507 ,8663 
65,M-SWC,MSWC0065,2009,MSWC01,19.9 ,25.4 ,16.2 ,3290.8 ,1640.8 ,571.1 ,767.4 ,2390.1 ,late_maturity,Yellow earths,,42.7 ,11.9 ,84.0 ,5.6 ,180 ,120 ,180 ,3660 ,5593 
66,M-SWC,MSWC0066,2009,MSWC01,20.0 ,25.5 ,16.3 ,3267.8 ,1637.8 ,569.2 ,744.6 ,2338.0 ,late_maturity,Yellow earths,,37.3 ,16.4 ,101.0 ,7.2 ,225 ,150 ,240 ,5596 ,9104 
67,M-SWC,MSWC0067,2009,MSWC01,20.1 ,25.5 ,16.3 ,3228.6 ,1618.6 ,569.2 ,741.8 ,2322.1 ,late_maturity,Yellow earths,,41.2 ,14.8 ,172.0 ,7.8 ,210 ,135 ,210 ,4865 ,8062 
68,M-SWC,MSWC0068,2007,MSWC01,18.8 ,24.6 ,15.1 ,3465.3 ,1649.0 ,768.4 ,735.2 ,2457.9 ,late_maturity,Yellow earths,,20.2 ,14.0 ,96.0 ,5.6 ,180 ,120 ,180 ,2167 ,6368 
69,M-SWC,MSWC0069,2007,MSWC01,18.9 ,24.5 ,15.3 ,3269.2 ,1562.9 ,761.8 ,650.5 ,2262.7 ,late_maturity,Yellow earths,,20.5 ,17.0 ,72.0 ,6.1 ,210 ,135 ,210 ,2934 ,6834 
70,M-SWC,MSWC0070,2007,MSWC01,19.1 ,24.8 ,15.4 ,3249.6 ,1560.3 ,759.1 ,674.7 ,2278.5 ,late_maturity,Yellow earths,,20.6 ,17.0 ,123.0 ,5.9 ,225 ,150 ,240 ,3701 ,8234 
71,M-SWC,MSWC0071,2009,MSWC01,19.7 ,25.1 ,16.0 ,3419.5 ,1680.8 ,571.8 ,775.0 ,2458.8 ,late_maturity,Yellow earths,,24.7 ,19.4 ,162.0 ,6.1 ,210 ,135 ,210 ,7001 ,10709 
72,M-SWC,MSWC0072,2009,MSWC01,19.7 ,25.1 ,16.0 ,3325.8 ,1637.1 ,571.7 ,754.0 ,2397.8 ,late_maturity,Yellow earths,,22.9 ,10.6 ,101.0 ,6.3 ,180 ,120 ,180 ,6371 ,9407 
73,M-SWC,MSWC0073,2009,MSWC01,20.0 ,25.4 ,16.2 ,3271.8 ,1631.8 ,571.1 ,758.8 ,2371.3 ,late_maturity,Yellow earths,,24.6 ,27.7 ,149.0 ,6.6 ,225 ,150 ,240 ,7800 ,10800 
74,M-SWC,MSWC0074,2008,MSWC01,19.2 ,25.0 ,15.4 ,3393.2 ,1623.9 ,823.1 ,720.8 ,2387.7 ,late_maturity,Yellow earths,,23.6 ,20.0 ,230.0 ,7.2 ,225 ,150 ,240 ,6423 ,9644 
75,M-SWC,MSWC0075,2008,MSWC01,19.2 ,25.0 ,15.5 ,3324.9 ,1595.6 ,821.2 ,711.0 ,2348.7 ,late_maturity,Yellow earths,,21.6 ,20.5 ,110.0 ,4.9 ,180 ,120 ,180 ,4760 ,7273 
76,M-SWC,MSWC0076,2008,MSWC01,19.2 ,24.9 ,15.5 ,3282.1 ,1572.8 ,822.9 ,688.7 ,2298.9 ,late_maturity,Yellow earths,,22.8 ,40.8 ,195.0 ,5.2 ,210 ,135 ,210 ,6464 ,8978 
