Sort,Crop,NO,Year,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
220,SR-YZB,SRYZB0220,2007,early_maturity,27.6,33.7,23.7,3149.5,2009.5,490.3,614.7,1770.6,Paddy soils,sandy loam,36.8,3.8,38,4.9,165,60,105,9513
221,SR-YZB,SRYZB0221,2007,early_maturity,27.5,33.4,23.7,3214,2044,638.1,587.2,1763.7,Paddy soils,sandy loam,47.9,22.2,92,5,165,60,105,8250
222,SR-YZB,SRYZB0222,2008,medium_maturity,27.5,33.6,23.5,3520.9,2240.9,737.9,795.7,2137.6,Paddy soils,silty clay loam,39.5,3.9,50,4.7,180,45,135,7824
223,SR-YZB,SRYZB0223,2007,medium_maturity,27.5,33.5,23.6,3247.3,2067.3,536.3,625,1813.4,Paddy soils,silty clay loam,39.3,10.5,100,4.8,165,60,105,6810
224,SR-YZB,SRYZB0224,2008,early_maturity,26.3,31.8,22.6,2579.6,1599.6,374.9,523.2,1416,Paddy soils,loam,40.6,32.7,30,6.4,165,60,165,8274
225,SR-YZB,SRYZB0225,2008,early_maturity,25.9,31.4,22.3,2698.7,1658.7,396.6,525.2,1434.3,Paddy soils,loam,22.9,8.2,60,5.1,165,60,165,8151
226,SR-YZB,SRYZB0226,2008,early_maturity,26.6,32.1,22.8,2761.3,1721.3,406.3,567.8,1538.9,Paddy soils,loam,25.6,20.2,20,5.1,165,60,165,6914
227,SR-YZB,SRYZB0227,2008,early_maturity,26.3,31.8,22.6,2472.2,1532.2,364.2,496,1349.6,Paddy soils,loam,24.2,28.5,40,5,165,60,165,7284
228,SR-YZB,SRYZB0228,2008,medium_maturity,26.3,31.8,22.6,2496.3,1546.3,364.2,499.5,1359,Paddy soils,loam,29.1,42.8,60,5.1,165,60,165,9215
229,SR-YZB,SRYZB0229,2008,medium_maturity,26.4,32,22.7,2671.4,1661.4,374.9,556.3,1491.8,Paddy soils,loam,31.9,34.4,50,5.1,165,60,165,9021
230,SR-YZB,SRYZB0230,2007,medium_maturity,23.3,29,19.9,2443.7,1393.7,516.7,396,1240.1,Paddy soils,silty clay loam,27.9,27.9,30,4.9,150,60,105,7137
231,SR-YZB,SRYZB0231,2007,medium_maturity,23.3,29,19.9,2443.7,1393.7,516.7,396,1240.1,Paddy soils,silty clay loam,25,13.8,79,5,150,60,105,5816
