Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
1486,M-NCP,MNCP1486,2007,MNCP03,medium_maturity,23.8,28.4,20.2,2827.4,1637.4,508,634.8,1776.9,Lime concretion fluvo-aquic soils,loam,13.8,18.2,99,6.4,195,60,105,6542
1487,M-NCP,MNCP1487,2009,MNCP03,medium_maturity,25,29.8,21,2849,1709,602.3,707.9,1854.1,Fluvo-aquic soils,loam,13,51.3,100,7.4,300,104,90,7088
1488,M-NCP,MNCP1488,2007,MNCP03,medium_maturity,24.6,29.8,20.5,3055.5,1815.5,730.3,738.2,2009.3,Cinnamon soils,clay loam,13,30.5,78,6.9,195,60,90,7568
1489,M-NCP,MNCP1489,2008,MNCP03,medium_maturity,24.3,29.4,20.2,3061.4,1801.4,629.4,740.1,2006.1,Cinnamon soils,clay loam,15.2,35.7,87,6.9,195,60,90,9636
1490,M-NCP,MNCP1490,2007,MNCP03,medium_maturity,24.6,29.8,20.5,3055.5,1815.5,730.3,738.2,2009.3,Cinnamon soils,clay loam,13.2,23.4,93,6.9,195,60,90,7142
1491,M-NCP,MNCP1491,2008,MNCP03,medium_maturity,24.3,29.5,20.2,3043.1,1793.1,629.4,740.1,2000.8,Lime concretion fluvo-aquic soils,clay loam,13.6,38.8,71,6.8,195,60,90,9225
1492,M-NCP,MNCP1492,2009,MNCP03,medium_maturity,25.2,30.6,20.8,2868.7,1728.7,537.6,795.8,2035.9,Cinnamon soils,clay loam,15.7,17.9,146,7,195,60,90,9485
1493,M-NCP,MNCP1493,2008,MNCP03,medium_maturity,24.3,29.5,20.2,3066.4,1806.4,629.4,749.9,2023.7,Cinnamon soils,loamy sand,15.6,35.2,72,7,195,60,90,9323
1494,M-NCP,MNCP1494,2007,MNCP03,medium_maturity,24.6,29.8,20.5,3055.5,1815.5,730.3,738.2,2009.3,Cinnamon soils,clay loam,13.5,22.4,83,6.9,195,60,90,7854
1495,M-NCP,MNCP1495,2007,MNCP03,medium_maturity,24.6,29.8,20.5,3055.5,1815.5,730.3,738.2,2009.3,Cinnamon soils,loam,13.7,20.5,78,7,195,60,90,7743
1496,M-NCP,MNCP1496,2008,MNCP03,medium_maturity,24.4,29.5,20.3,2999,1769,629.4,729.5,1971.4,Cinnamon soils,clay loam,18.1,47.5,52,6.9,195,60,90,9492
1497,M-NCP,MNCP1497,2008,MNCP03,medium_maturity,24.3,29.4,20.3,2969.8,1749.8,629.4,712.3,1934.6,Cinnamon soils,clay loam,13.3,40.2,80,7.1,195,60,90,9297
1498,M-NCP,MNCP1498,2009,MNCP03,medium_maturity,25.2,30.6,20.8,2868.7,1728.7,537.6,795.8,2035.9,Cinnamon soils,clay,18.3,27.9,124,7,195,60,90,10208
1499,M-NCP,MNCP1499,2007,MNCP03,medium_maturity,24.6,29.8,20.5,3055.5,1815.5,730.3,738.2,2009.3,Cinnamon soils,clay,13.5,31.2,87,7,195,60,90,7698
1500,M-NCP,MNCP1500,2008,MNCP03,medium_maturity,24.4,29,20.7,2655.5,1565.5,469.3,505.5,1473.2,Fluvo-aquic soils,loam,20.4,61.4,113,8.1,195,60,90,8259
