Sort,Crop,N0,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
85,M-NCP,MNCP0085,2008,MNCP01,WS0030,25.11 ,30.34 ,20.71 ,2736.5,1646.5,533.7,695.2,1789.51,Cinnamon soils,loamy sand,17.9,22,120,8,180,150,120,8175
86,M-NCP,MNCP0086,2008,MNCP01,WS0030,25.11 ,30.34 ,20.71 ,2736.5,1646.5,533.7,695.2,1789.51,Cinnamon soils,sandy clay loam,20.8,41,90,7.9,180,150,120,8960
87,M-NCP,MNCP0087,2008,MNCP01,WS0030,24.90 ,30.10 ,20.58 ,2639.9,1579.9,537.1,652.1,1692.71,Cinnamon soils,loam,21.8,38.7,110,8.3,225,60,150,8496
88,M-NCP,MNCP0088,2009,MNCP01,WS0030,25.01 ,30.74 ,20.23 ,2651.4,1591.4,475.9,678.3,1739.63,Cinnamon soils,loam,17.9,22,120,8,180,150,120,9209
89,M-NCP,MNCP0089,2009,MNCP01,WS0030,24.91 ,30.66 ,20.08 ,2839.6,1699.6,526.5,732.1,1875.16,Cinnamon soils,loamy sand,20.8,41,90,7.9,180,150,120,7658
90,M-NCP,MNCP0090,2009,MNCP01,WS0030,24.94 ,30.66 ,20.19 ,2693.5,1613.5,502.7,681.8,1754.28,Cinnamon soils,loamy sand,10.7,31.9,79,8.2,180,150,120,7896
91,M-NCP,MNCP0091,2009,MNCP01,WS0030,24.93 ,30.68 ,20.13 ,2742.1,1642.1,502.7,695.8,1788.17,Cinnamon soils,loam,15.1,21.8,100,8.2,180,150,120,8826
92,M-NCP,MNCP0092,2009,MNCP01,WS0030,24.88 ,30.65 ,20.07 ,2811.8,1681.8,502.7,711.8,1829.5,Cinnamon soils,loam,14.7,14.7,70,8.1,180,150,120,8645
93,M-NCP,MNCP0093,2009,MNCP01,WS0030,25.03 ,30.81 ,20.17 ,2753.3,1653.3,499.7,717.6,1831.36,Cinnamon soils,loam,21.6,21.2,100,8,225,60,150,10728
94,M-NCP,MNCP0094,2009,MNCP01,WS0030,24.99 ,30.72 ,20.21 ,2673.6,1603.6,475.9,681.8,1749.27,Cinnamon soils,loam,22.8,44,140,8.3,225,60,150,9090
95,M-NCP,MNCP0095,2009,MNCP01,WS0030,24.89 ,30.60 ,20.17 ,2688.6,1608.6,502.7,674.3,1739.38,Cinnamon soils,loamy sand,19.4,48,120,8.1,180,150,120,8496
96,M-NCP,MNCP0096,2008,MNCP01,WS0025,25.23 ,29.94 ,21.31 ,2623.9,1583.9,420.5,587.6,1574.22,Fluvo-aquic soils,loamy sand,17.3,80,82,7.9,180,60,120,8315
97,M-NCP,MNCP0097,2008,MNCP01,WS0025,25.32 ,30.06 ,21.38 ,2633.4,1593.4,417.6,590.7,1581.65,Fluvo-aquic soils,loam,21.1,32,70,7.9,225,60,150,8735
98,M-NCP,MNCP0098,2008,MNCP01,WS0025,24.85 ,29.61 ,20.95 ,2758.4,1648.4,431,611.6,1647.77,Fluvo-aquic soils,loamy sand,13.7,19,40,8.3,180,60,120,7713
99,M-NCP,MNCP0099,2009,MNCP01,WS0025,25.21 ,30.44 ,20.91 ,2596.2,1566.2,379.6,713.3,1765.84,Fluvo-aquic soils,loamy sand,17.3,80,82,7.9,180,60,120,8771
100,M-NCP,MNCP0100,2009,MNCP01,WS0025,25.21 ,30.44 ,20.91 ,2596.2,1566.2,379.6,713.3,1765.84,Fluvo-aquic soils,loamy sand,14.8,20,80,8.2,180,60,120,8291
101,M-NCP,MNCP0101,2009,MNCP01,WS0025,25.21 ,30.44 ,20.91 ,2596.2,1566.2,379.6,713.3,1765.84,Fluvo-aquic soils,loamy sand,12.2,36,130,8.5,180,60,120,8541
102,M-NCP,MNCP0102,2009,MNCP01,WS0025,25.21 ,30.44 ,20.91 ,2596.2,1566.2,379.6,713.3,1765.84,Fluvo-aquic soils,loam,21.1,32,70,7.9,225,60,150,8822
103,M-NCP,MNCP0103,2010,MNCP01,WS0025,25.52 ,30.33 ,21.63 ,2679.8,1629.8,311.1,648.3,1662.87,Fluvo-aquic soils,loamy sand,22.1,27.4,80,8.1,180,60,120,8622
104,M-NCP,MNCP0104,2010,MNCP01,WS0025,25.52 ,30.33 ,21.63 ,2679.8,1629.8,311.1,648.3,1662.87,Fluvo-aquic soils,loamy sand,17.2,26,140,8.1,180,60,120,8505
105,M-NCP,MNCP0105,2010,MNCP01,WS0025,25.52 ,30.33 ,21.63 ,2679.8,1629.8,311.1,648.3,1662.87,Fluvo-aquic soils,loamy sand,24.1,34.7,90,8.1,225,60,150,10025
106,M-NCP,MNCP0106,2010,MNCP01,WS0025,25.52 ,30.33 ,21.63 ,2679.8,1629.8,311.1,648.3,1662.87,Fluvo-aquic soils,loamy sand,24.6,34.3,70,8.1,225,60,150,9402
107,M-NCP,MNCP0107,2010,MNCP01,WS0025,25.52 ,30.33 ,21.63 ,2679.8,1629.8,311.1,648.3,1662.87,Fluvo-aquic soils,loamy sand,17.8,25.7,90,8.1,180,60,120,8786
108,M-NCP,MNCP0108,2010,MNCP01,WS0025,25.52 ,30.33 ,21.63 ,2679.8,1629.8,311.1,648.3,1662.87,Fluvo-aquic soils,loamy sand,15.3,28,90,8.1,180,60,120,8199
109,M-NCP,MNCP0109,2010,MNCP01,WS0025,25.52 ,30.33 ,21.63 ,2679.8,1629.8,311.1,648.3,1662.87,Fluvo-aquic soils,loamy sand,16.6,26.9,80,8.1,180,60,120,8799
110,M-NCP,MNCP0110,2010,MNCP01,WS0025,25.52 ,30.33 ,21.63 ,2679.8,1629.8,311.1,648.3,1662.87,Fluvo-aquic soils,loamy sand,16.2,29.3,80,8.1,180,60,120,8628
111,M-NCP,MNCP0111,2008,MNCP01,WS0025,25.28 ,29.99 ,21.34 ,2604.1,1574.1,414.3,587.6,1566.7,Fluvo-aquic soils,loamy sand,12.2,36,130,8.5,180,60,120,7713
