Crop,NO,Year,Province,Province1,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil type1,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
SR-YZB,SRYZB0025,2006,安徽,Anhui,8658215,25.97666667,30.39166667,22.38416667,3117.2,1917.2,478.5,728.9,1966.72,黄褐土,Yellow-cinnamon soils,silty clay loam,24.3,23.3,114,6.8,210,120,240,9457.5
SR-YZB,SRYZB0026,2007,安徽,Anhui,8658215,25.87614679,29.85412844,22.7706422,2820.5,1730.5,798.7,589.8,1666.54,黄褐土,Yellow-cinnamon soils,silty clay loam,21.1,18,91,5.8,210,120,240,7432.5
SR-YZB,SRYZB0027,2009,安徽,Anhui,8658215,26.02268908,30.14033613,22.83445378,3096.7,1906.7,557.3,684.4,1901.66,黄褐土,Yellow-cinnamon soils,silty clay loam,18.6,18.8,93,6,210,120,240,9519
SR-YZB,SRYZB0028,2007,安徽,Anhui,8658215,25.87383178,29.89813084,22.75514019,2768.5,1698.5,799.9,569.2,1613.05,黄褐土,Yellow-cinnamon soils,silty clay loam,20.9,22,89,5.8,210,120,240,8445
SR-YZB,SRYZB0029,2007,安徽,Anhui,8658215,25.79734513,29.83185841,22.60442478,2915.1,1785.1,798.9,606.7,1735.95,黄褐土,Yellow-cinnamon soils,silty clay loam,19.2,21.8,95,5.9,210,120,240,8608.5
SR-YZB,SRYZB0030,2006,安徽,Anhui,8658215,25.97666667,30.39166667,22.38416667,3117.2,1917.2,478.5,728.9,1966.72,黄褐土,Yellow-cinnamon soils,silty clay loam,18.4,27.5,108,6.3,210,120,240,8610
SR-YZB,SRYZB0031,2007,安徽,Anhui,8658215,26.09292035,30.17079646,22.8460177,2948.5,1818.5,817.9,608.7,1762.69,黄褐土,Yellow-cinnamon soils,silty clay loam,15.5,16.8,100,6.5,210,120,240,8685
SR-YZB,SRYZB0032,2006,安徽,Anhui,8658215,26.16336634,30.37524752,22.92574257,2642.5,1632.5,476.8,584.7,1601.16,黄褐土,Yellow-cinnamon soils,silty clay loam,24.5,6.5,64,7.5,210,120,240,9534
SR-YZB,SRYZB0033,2006,安徽,Anhui,8658215,26.23660714,30.5625,22.7,2938.5,1818.5,478.5,672.9,1842.83,黄褐土,Yellow-cinnamon soils,silty clay loam,20,8.7,84,5.8,210,120,240,7404
SR-YZB,SRYZB0034,2007,安徽,Anhui,8658215,25.65431034,29.64913793,22.55948276,2975.9,1815.9,802.5,605.9,1728.66,黄褐土,Yellow-cinnamon soils,silty clay loam,21.1,21.7,99,6,210,120,240,7345.5
SR-YZB,SRYZB0035,2007,安徽,Anhui,8658222,26.06666667,30.35656566,22.91212121,2580.6,1590.6,915.1,496.1,1458.79,水稻土,Paddy soils,silty clay loam,28.8,27,155,4.8,210,72,180,9243
SR-YZB,SRYZB0036,2007,安徽,Anhui,8658222,25.62521739,29.98521739,22.47217391,2946.9,1796.9,934,572.9,1651.43,水稻土,Paddy soils,loamy sand,14.7,26.2,121,5.3,210,72,180,9112.5
