Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
97,M-SWC,MSWC0097,2008,MSWC01,WS0598,19.99 ,25.12 ,16.63 ,2997.8,1497.8,1290.4,615.6,2060.6,Yellow-brown earths,,44,9.2,144,8,210,135,210,10068
98,M-SWC,MSWC0098,2008,MSWC01,WS0598,19.30 ,24.49 ,15.92 ,3281.4,1585.3,1303.4,689.1,2308.59,Limestone soils,,39.3,2.6,145,5.5,210,135,210,7544
99,M-SWC,MSWC0099,2006,MSWC01,WS0598,21.07 ,26.07 ,17.58 ,3159.9,1659.9,718.5,654.3,2118.73,Yellow earths,,58,14.6,227,7,225,150,240,7620
100,M-SWC,MSWC0100,2006,MSWC01,WS0598,21.30 ,26.35 ,17.74 ,2853.8,1513.8,545.7,601.2,1934.85,Limestone soils,,40.9,19.1,180,6.6,225,150,240,7545
101,M-SWC,MSWC0101,2006,MSWC01,WS0598,20.92 ,26.02 ,17.36 ,3305.8,1725.8,718.5,712.4,2254.61,Yellow earths,,52.7,16.7,296,7.3,225,150,240,6825
102,M-SWC,MSWC0102,2008,MSWC01,WS0638,20.53 ,25.15 ,17.54 ,2710.1,1390.1,705.5,663.8,2016.64,Yellow earths,,33,10.5,125,6.2,180,150,180,8129
103,M-SWC,MSWC0103,2008,MSWC01,WS0638,20.01 ,24.76 ,16.97 ,2700.7,1350.7,728.2,670.4,2061.56,Limestone soils,,44.4,14.9,179,6.9,225,120,150,7988
104,M-SWC,MSWC0104,2008,MSWC01,WS0638,20.05 ,24.92 ,16.91 ,2806.9,1406.9,728.2,721.5,2177.25,Yellow earths,,31.8,13.2,126,6.1,225,120,150,8938
105,M-SWC,MSWC0105,2008,MSWC01,WS0295,16.20 ,21.40 ,13.04 ,2850.9,1101.8,859.3,667.5,2294.07,Yellow-brown earths,,21.5,16.8,80,7.7,300,180,360,8883
106,M-SWC,MSWC0106,2007,MSWC01,WS0295,16.60 ,21.69 ,13.35 ,2672.2,1072.6,876.3,552.9,2030.79,Yellow-brown earths,,25.3,18.2,99,7.3,240,120,240,8223
107,M-SWC,MSWC0107,2009,MSWC01,WS0295,15.98 ,21.42 ,12.84 ,2557,998.4,543.4,674.7,2223.34,Yellow-brown earths,,35.9,46.2,188,7.1,300,180,360,8883
108,M-SWC,MSWC0108,2009,MSWC01,WS0295,16.92 ,22.28 ,13.81 ,2673.4,1100,502.5,676.8,2197.66,Yellow-brown earths,,45.5,51.6,150,6.8,270,150,300,8312
109,M-SWC,MSWC0109,2008,MSWC01,WS0295,16.23 ,21.44 ,13.07 ,2791.9,1082.8,845.6,657.6,2256.94,Yellow-brown earths,,32.1,31.5,109,5.2,300,150,300,9845
110,M-SWC,MSWC0110,2007,MSWC01,WS0295,16.47 ,21.59 ,13.17 ,2832,1122.4,887,613.4,2187.38,Yellow-brown earths,,38.1,30.8,209,7.9,360,180,360,9362
111,M-SWC,MSWC0111,2007,MSWC01,WS0295,17.29 ,22.00 ,14.34 ,2265.1,956.4,794.2,382.8,1549.46,Yellow-brown earths,,65.7,10.4,89,5.3,360,180,360,8701
112,M-SWC,MSWC0112,2007,MSWC01,WS0295,17.37 ,22.05 ,14.46 ,2189,930.3,728.7,357.9,1476.33,Yellow-brown earths,,56.7,26.8,99,5.6,300,150,300,8963
