Crop,NO,Year,Province,Province1,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil type1,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk,,
LR-SC,LRSC0107,2008,福建省,Fujian,8658911,26.087755,31.929592,21.982653,2556.6,1576.6,438.6,594.2,1550.61,水稻土,Paddy soil,sandy loam,22.9,52.2,148,4.4,180,82.5,108,8025,,
LR-SC,LRSC0108,2008,福建省,Fujian,8658911,26.022222,31.830303,21.944444,2576.2,1586.2,438.6,594.3,1555.72,水稻土,Paddy soil,sandy loam,26.7,43.5,267,4.5,180,82.5,108,7558.5,,
LR-SC,LRSC0109,2008,福建省,Fujian,8658911,25.969,31.771,21.902,2596.9,1596.9,438.6,597.4,1564.88,水稻土,Paddy soil,sandy loam,17.9,52.4,186,4.6,180,82.5,108,8430,,
LR-SC,LRSC0110,2009,福建省,Fujian,8658911,27.024468,32.828723,22.655319,2540.3,1600.3,216.7,684.3,1695.26,水稻土,Paddy soil,loam,27.3,60.9,68,4.2,180,82.5,108,6553.5,,
LR-SC,LRSC0111,2007,广东省,Guangdong,8657989,25.767368,31.466316,21.889474,2447.9,1497.9,379.4,541.8,1421.02,水稻土,Paddy soil,sandy loam,31.5,11.6,99,5.4,167.25,36,135,7575,,
LR-SC,LRSC0112,2007,广东省,Guangdong,8657989,25.39186,30.90814,21.713953,2183.7,1323.7,379.3,444.8,1208.62,水稻土,Paddy soil,sandy loam,20.8,74.2,62,6.2,167.25,36,135,6603,,
LR-SC,LRSC0113,2007,广东省,Guangdong,8657996,25.903,31.173,22.203,2590.3,1590.3,317,632.6,1600.98,水稻土,Paddy soil,loam,35.24,37.2,223.9,5.02,150,45,120,7500,,
LR-SC,LRSC0114,2006,广东省,Guangdong,8659088,27.00638298,32.05212766,23.37765957,2538.6,1598.6,237.3,732.9,1719.06,水稻土,Paddy soil,sandy loam,34.1,46.2,67,7.2,165,63,135,6480,,
LR-SC,LRSC0115,2006,广东省,Guangdong,8659109,25.45164835,31.51648352,21.15604396,2316.1,1406.1,213.6,588.986,1417.87,水稻土,Paddy soil,loam,36.5,6.6,46,6.2,157.5,30,75,8317.5,,
LR-SC,LRSC0116,2007,广东省,Guangdong,8659109,25.137931,30.437931,21.555172,2187,1317,305.3,439.814,1173.58,水稻土,Paddy soil,sandy loam,21.7,20.8,59,8.2,157.5,30,75,9319.5,,
LR-SC,LRSC0117,2008,广东省,Guangdong,8659317,24.942553,29.212766,21.940426,2344.6,1404.6,196.2,620.4,1413.14,水稻土,Paddy soil,loam,12.2,43.2,85,5.3,165,39,117,5750,,
LR-SC,LRSC0118,2006,广东省,Guangdong,8659312,26.62470588,31.38470588,23.10235294,2263.1,1413.1,248.4,532.2,1298.37,水稻土,Paddy soil,sandy loam,23,15.4,151,6.7,168,36,82.5,8025,,
LR-SC,LRSC0119,2008,广东省,Guangdong,8659313,26.908163,31.02551,23.837755,2637,1657,185.9,735.2,1709.24,水稻土,Paddy soil,sandy loam,30.1,12.1,34,5.7,207,36,135,7710,,
LR-SC,LRSC0120,2006,广东省,Guangdong,8659297,26.21609195,31.08850575,22.52643678,2280.8,1410.8,324.2,519.8,1295.73,水稻土,Paddy soil,sandy loam,9.8,12,50,6.2,201.75,54,202.5,6681,,
LR-SC,LRSC0121,2006,广东省,Guangdong,8659297,26.21609195,31.08850575,22.52643678,2280.8,1410.8,324.2,519.8,1295.73,水稻土,Paddy soil,loam,19.2,24.8,113,6.7,127.65,27,90,8565,,
