Crop,NO,Year,Province,Province1,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil type1,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
W-NWC,WNWC0097,2007,陕西省,Shanxi,8657032,9.29030837,14.36519824,5.515859031,2220.5,720.3,119.6,1008.5,2454.19,塿土,Cumulic cinnamon soils,loam,12.4,31,102,7.1,180,75,150,6402
W-NWC,WNWC0098,2007,陕西省,Shanxi,8657032,9.014732143,14.02991071,5.309821429,2130.9,660.7,119.6,973.9,2371.88,塿土,Cumulic cinnamon soils,loam,13.6,15.9,81,7.5,180,75,150,6756
W-NWC,WNWC0099,2008,陕西省,Shanxi,8657032,9.9004329,14.84025974,6.26017316,2318.9,677.8,227.6,1145.2,2563.23,塿土,Cumulic cinnamon soils,loam,13.7,20,78,7.4,240,120,150,7864.5
W-NWC,WNWC0100,2008,陕西省,Shanxi,8657032,10.00742358,14.99519651,6.311353712,2323.6,702.5,218.7,1156.5,2595.61,水稻土,Paddy soils,sandy loam,10.4,16.5,90,7.9,210,75,120,4950
W-NWC,WNWC0101,2008,陕西省,Shanxi,8657032,10.00742358,14.99519651,6.311353712,2323.6,702.5,218.7,1156.5,2595.61,潮土,Fluvo-aquic soils,loam,16,16.9,125,7.2,225,90,150,8124
W-NWC,WNWC0102,2007,陕西省,Shanxi,8657032,8.891818182,13.87727273,5.203636364,2067.8,637.6,119.6,949.9,2319.26,新积土,Alluvial?soils,loam,14,12.5,100,7,180,75,150,7969.5
W-NWC,WNWC0103,2007,陕西省,Shanxi,8657032,8.991402715,14.00452489,5.274208145,2098.7,658.5,119.6,966.3,2356.06,新积土,Alluvial?soils,loam,11.6,21.7,120,6.8,180,75,150,6732.8
W-NWC,WNWC0104,2008,陕西省,Shanxi,8657032,10.1111588,15.08927039,6.428755365,2387.8,726.7,227.6,1172.1,2633,新积土,Alluvial?soils,loam,14.9,13,128,7,210,75,120,8283.8
W-NWC,WNWC0105,2007,陕西省,Shanxi,8657032,9.369911504,14.45265487,5.572566372,2229.2,739,119.6,1017.1,2474.64,塿土,Cumulic cinnamon soils,clay loam,14.2,36,115,7.1,180,75,150,6382.5
W-NWC,WNWC0106,2008,陕西省,Shanxi,8657032,9.894736842,14.84342105,6.240350877,2287.9,676.8,226.8,1137.8,2552.98,塿土,Cumulic cinnamon soils,clay loam,13.5,8.8,113,7.3,240,120,150,7984.5
W-NWC,WNWC0107,2007,陕西省,Shanxi,8657032,9.823175966,14.93733906,6.00944206,2400.4,840.2,124.7,1043.6,2569.35,新积土,Alluvial?soils,loam,14.2,21.8,96,7.6,180,75,150,8337
W-NWC,WNWC0108,2008,陕西省,Shanxi,8657032,10.11688312,15.12077922,6.406060606,2368.9,727.8,226.8,1174.5,2634.1,新积土,Alluvial?soils,loam,16,13.5,146,7.5,225,90,150,8124
W-NWC,WNWC0109,2007,陕西省,Shanxi,8657032,9.449130435,14.54565217,5.646956522,2284.9,754.7,119.6,1033.7,2512.29,水稻土,Paddy soils,loam,14.9,18.7,92,7.5,180,75,150,5908.5
W-NWC,WNWC0110,2007,陕西省,Shanxi,8657032,9.215486726,14.27566372,5.459292035,2194.3,704.1,119.6,997.7,2429.45,潮土,Fluvo-aquic soils,clay loam,13.1,29.6,147,8,180,75,150,7606.5
W-NWC,WNWC0111,2008,陕西省,Shanxi,8657032,9.965065502,14.93318777,6.290393013,2313.9,692.8,226.8,1149.8,2579.64,塿土,Cumulic cinnamon soils,clay loam,22.5,9.6,102,7.5,240,120,150,5250
W-NWC,WNWC0112,2008,陕西省,Shanxi,8657032,10.06147186,15.03766234,6.377056277,2356.1,715,227.3,1162.6,2612.07,潮土,Fluvo-aquic soils,clay loam,15.7,27.8,98,7.4,240,120,150,8046.8
W-NWC,WNWC0113,2007,陕西省,Shanxi,8657032,9.192888889,14.24222222,5.441333333,2180,699.8,119.6,992.7,2418.97,黄绵土,Cultivated loessial soils,loam,12.3,36,113,6.7,180,75,150,6807
W-NWC,WNWC0114,2008,陕西省,Shanxi,8657032,9.917180617,14.89911894,6.222907489,2283.1,682,212.7,1143.7,2563.26,黄绵土,Cultivated loessial soils,loam,14.1,41.2,104,6.8,210,75,120,6808.5
W-NWC,WNWC0115,2008,陕西省,Shanxi,8657032,9.920087336,14.86200873,6.271615721,2303.6,682.5,227.3,1137.8,2557.46,新积土,Alluvial?soils,clay loam,15.4,33.4,140,7,225,90,150,6353.3
W-NWC,WNWC0116,2008,陕西省,Shanxi,8657042,8.813675214,15.1474359,3.859401709,2175.1,674.1,216.8,1484.9,3043.72,灌淤土,Irrigating warped soils,loam,12.1,12.6,136,7.8,210,150,75,7860
