Crop,NO,Year,Province,Province1,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil type1,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
W-YZB,WYZB0065,2007,安徽省,Anhui,8658224,11.59736842,15.91315789,8.163157895,2674.7,946.5,455.1,1229.8,2773.52,潮土,Fluvo-aquic soils,silty clay loam,21,28,156,7.7,225,75,97.5,7200
W-YZB,WYZB0066,2008,安徽省,Anhui,8658224,12.30858369,16.84935622,8.60944206,2881.8,1015.2,278.3,1265.7,2800.48,水稻土,Paddy soils,clay loam,14.8,12.2,121,6.9,225,75,75,7005
W-YZB,WYZB0067,2009,安徽省,Anhui,8658224,10.71923077,14.95470085,7.315384615,2523.2,863.5,481.8,1187.9,2731.46,水稻土,Paddy soils,clay loam,14.8,14.8,121,6.9,225,90,75,7020
W-YZB,WYZB0068,2008,安徽省,Anhui,8658224,12.30858369,16.84935622,8.60944206,2881.8,1015.2,278.3,1265.7,2800.48,水稻土,Paddy soils,clay loam,14.8,12.2,121,6.9,225,75,75,7005
W-YZB,WYZB0069,2005,安徽省,Anhui,8658212,10.38544601,15.48122066,6.275117371,2235.8,755.3,314.4,1121.8,2515.98,水稻土,Paddy soils,clay,18.7,42.9,96,6.4,195,75,97.5,5475
W-YZB,WYZB0070,2005,安徽省,Anhui,8658212,10.38544601,15.48122066,6.275117371,2235.8,755.3,314.4,1121.8,2515.98,水稻土,Paddy soils,silty clay loam,18.9,42.9,93,5.9,195,75,97.5,6000
W-YZB,WYZB0071,2007,安徽省,Anhui,8658212,10.47566372,15.33053097,6.523893805,2425.6,808.4,384,1230.3,2750.4,水稻土,Paddy soils,silty clay loam,25.6,35.6,87,6.6,210,45,75,6267
W-YZB,WYZB0072,2005,安徽省,Anhui,8658212,10.4630137,15.57351598,6.326940639,2315.1,774.6,315.8,1150.4,2569.74,水稻土,Paddy soils,silty clay loam,21.6,39.5,82,6.4,195,75,97.5,7750.5
W-YZB,WYZB0073,2009,安徽省,Anhui,8658212,10.27735043,14.68076923,6.622649573,2426.9,829.5,508.3,1068.831,2595.38,水稻土,Paddy soils,silty clay loam,21.1,8.8,45,6.4,225,75,75,5950.5
W-YZB,WYZB0074,2005,安徽省,Anhui,8658212,10.68440367,15.76926606,6.542201835,2352.9,822.4,314.4,1164.5,2615.15,水稻土,Paddy soils,clay,17.8,58.1,84,7,195,75,97.5,5949
W-YZB,WYZB0075,2005,安徽省,Anhui,8658212,11.77488987,16.8030837,7.669162996,2672.9,934.5,389.2,1230,2719.54,水稻土,Paddy soils,clay,18.9,27.5,62,6.5,195,60,90,6534
W-YZB,WYZB0076,2007,安徽省,Anhui,8658212,10.63782609,15.50913043,6.67826087,2504.8,847.6,391.5,1253.2,2808.19,水稻土,Paddy soils,clay,25.6,25.6,60,6.6,210,45,75,7033.5
W-YZB,WYZB0077,2006,安徽省,Anhui,8658212,11.74734513,16.76504425,7.65,2654.9,926.5,389.3,1220.9,2708.53,水稻土,Paddy soils,silty clay loam,20.7,48.9,89,6.4,195,60,90,6330
W-YZB,WYZB0078,2006,安徽省,Anhui,8658212,11.2814978,16.18414097,7.29339207,2583.8,852.1,290,1154.7,2626.4,水稻土,Paddy soils,clay,20.6,28,86,6.5,225,45,75,5400
W-YZB,WYZB0079,2007,安徽省,Anhui,8658212,10.33150685,15.17899543,6.372146119,2320.7,773.5,391.5,1199.1,2692.33,水稻土,Paddy soils,clay,20.6,28,86,6.5,210,45,75,6795
W-YZB,WYZB0080,2005,安徽省,Anhui,8658212,10.67873303,15.78144796,6.528959276,2383.7,823.2,315.8,1173.3,2627.52,水稻土,Paddy soils,silty clay loam,18.6,55.1,89,6.2,195,75,97.5,5151
W-YZB,WYZB0081,2005,安徽省,Anhui,8658212,10.38823529,15.23031674,6.442533937,2353.9,786.7,391.5,1205.9,2709.11,水稻土,Paddy soils,silty clay loam,21.4,37.8,81,7.6,240,45,75,7465.5
W-YZB,WYZB0082,2006,安徽省,Anhui,8658212,11.83421053,16.84517544,7.760087719,2698.2,949.8,396.1,1220.9,2723.32,水稻土,Paddy soils,silty clay loam,32.8,45.2,90,6.1,195,60,90,7200
W-YZB,WYZB0083,2005,安徽省,Anhui,8658212,10.74663677,15.85470852,6.578923767,2420.2,839.7,315.8,1192.5,2667.2,砂姜黑土,Lime concretion fluvo-aquic soils,clay,27,58.9,83,6.3,195,75,97.5,4975.5
W-YZB,WYZB0084,2005,安徽省,Anhui,8658212,11.83421053,16.84517544,7.760087719,2698.2,949.8,396.1,1220.9,2723.32,水稻土,Paddy soils,clay,19.3,40.6,79,6.6,195,60,90,6033
W-YZB,WYZB0085,2005,安徽省,Anhui,8658212,10.86964286,15.97142857,6.706696429,2458.5,868,316.3,1197.6,2688.93,水稻土,Paddy soils,clay,19.1,43.5,92,8,195,75,97.5,6499.5
W-YZB,WYZB0086,2007,安徽省,Anhui,8658212,10.23636364,15.05227273,6.328636364,2310.1,752.9,384,1178.2,2644.21,黄褐土,Yellow-cinnamon soils,clay,24.1,40.2,95,7,225,45,75,7000.5
W-YZB,WYZB0087,2005,安徽省,Anhui,8658212,11.96839827,16.98181818,7.88961039,2764.7,986.3,397.3,1238.4,2762.66,水稻土,Paddy soils,silty clay loam,15,44.6,82,5.3,195,60,90,7170
W-YZB,WYZB0088,2007,安徽省,Anhui,8658212,10.38716814,15.23495575,6.45840708,2405.6,788.4,384,1216.1,2718.74,砂姜黑土,Lime concretion fluvo-aquic soils,silty clay loam,14.3,56.9,105,5.6,225,45,90,7528.5
W-YZB,WYZB0089,2007,安徽省,Anhui,8658212,10.34419643,15.18839286,6.416517857,2375.2,778,384,1207.1,2698.19,水稻土,Paddy soils,silty clay loam,17.9,40.1,83,5.3,225,45,75,8112
W-YZB,WYZB0090,2008,安徽省,Anhui,8658212,10.4746888,14.93775934,6.773029046,2546.4,879,508.3,1118.631,2680.54,水稻土,Paddy soils,silty clay loam,15.8,47,56,6.7,225,75,75,6795
W-YZB,WYZB0091,2006,安徽省,Anhui,8658212,11.87423581,16.90393013,7.766375546,2719.2,960.8,389.2,1241.9,2744.56,水稻土,Paddy soils,silty clay loam,22,42.9,77,7.3,195,60,90,6834
W-YZB,WYZB0092,2006,安徽省,Anhui,8658212,11.88384279,16.90305677,7.807423581,2721.4,963,396.1,1229.5,2739.05,水稻土,Paddy soils,silty clay loam,14.8,39.2,100,7.3,195,60,90,5851.5
W-YZB,WYZB0093,2006,安徽省,Anhui,8658212,10.33,15.16363636,6.385454545,2330.7,773.5,384,1203.2,2697.34,水稻土,Paddy soils,silty clay loam,27.8,51.2,39,7.2,210,45,75,6400.5
W-YZB,WYZB0094,2008,安徽省,Anhui,8658212,11.07946429,15.96071429,7.117410714,2504.7,803,290,1135.2,2567.52,水稻土,Paddy soils,silty clay loam,21.5,30.5,62,7.2,225,45,75,6276
W-YZB,WYZB0095,2005,安徽省,Anhui,8658212,10.9215859,16.01894273,6.755066079,2502.9,883,316.3,1209.7,2721.64,砂姜黑土,Lime concretion fluvo-aquic soils,clay,15.4,28.5,62,5.6,195,75,97.5,6243
W-YZB,WYZB0096,2006,安徽省,Anhui,8658215,10.6411215,16.18364486,6.141588785,2277.8,708.5,344.1,1201.5,2639.11,黄褐土,Yellow-cinnamon soils,silty clay loam,22.6,21.3,68,5.9,195,90,180,6250.5
W-YZB,WYZB0097,2006,安徽省,Anhui,8658215,10.37735849,15.86132075,5.943396226,2200.6,651.3,344.8,1171,2567.46,黄褐土,Yellow-cinnamon soils,loam,21.2,8.5,249,8,210,120,120,6766.5
W-YZB,WYZB0098,2008,安徽省,Anhui,8658215,10.01520737,15.54193548,5.505069124,2207.2,652.6,265.4,1258.9,2697.42,黄褐土,Yellow-cinnamon soils,silty clay loam,17.8,16.8,156,5.4,195,72,150,7710
W-YZB,WYZB0099,2008,安徽省,Anhui,8658215,10.60964912,16.16008772,6.067105263,2452.9,788.3,290.5,1347.4,2901.62,黄褐土,Yellow-cinnamon soils,loam,16.35,21.4,153,5.2,195,72,150,7770
W-YZB,WYZB0100,2009,安徽省,Anhui,8658215,9.232727273,14.03272727,5.430454545,2052.3,602.7,465.4,1125.4,2574.03,黄褐土,Yellow-cinnamon soils,silty clay loam,18.1,16.8,146,5.7,195,72,150,6585
W-YZB,WYZB0101,2009,安徽省,Anhui,8658215,9.185844749,13.97214612,5.393607306,2032.8,593.2,465.4,1116.4,2558.5,黄褐土,Yellow-cinnamon soils,silty clay loam,17.8,16.8,156,5.4,195,72,150,5835
W-YZB,WYZB0102,2009,安徽省,Anhui,8658215,9.24479638,14.07782805,5.429411765,2064.2,604.6,465.4,1125.7,2564.58,黄褐土,Yellow-cinnamon soils,silty clay loam,20.1,16,117,6,195,72,150,6033
W-YZB,WYZB0103,2009,安徽省,Anhui,8658215,9.663596491,14.51184211,5.811842105,2224.4,694.8,465.4,1197.6,2732.4,黄褐土,Yellow-cinnamon soils,silty clay loam,17.2,21,156,5.2,195,72,150,6504
W-YZB,WYZB0104,2006,安徽省,Anhui,8658215,10.15365854,15.65512195,5.700487805,2082.1,602.8,333.7,1135.6,2491.32,黄褐土,Yellow-cinnamon soils,silty clay loam,19.3,20.4,29,5.7,195,90,180,4735.5
W-YZB,WYZB0105,2007,安徽省,Anhui,8658215,9.786026201,15.06331878,5.478165939,2305.6,702.7,331.7,1289.9,2839.7,黄褐土,Yellow-cinnamon soils,silty clay loam,18.1,16.8,118,5.7,195,90,180,5415
