Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
99,ER-SC,ERSC0099,2008,ERSC03,late_maturity,25.46847826,29.76847826,22.99782609,2343.1,1423.1,975.5,202.9,991.14,Paddy soils,,28.66,51.45,54.79,5.06,138,27,90,4845,7045.5
100,ER-SC,ERSC0100,2008,ERSC03,late_maturity,25.48673469,29.81734694,22.99285714,2497.7,1517.7,1000,225.9,1070.53,Paddy soils,,28.17,27.95,94.73,5,138,27,90,3075,4489.5
101,ER-SC,ERSC0101,2007,ERSC03,medium_maturity,27.01182796,30.13010753,24.79354839,2512.1,1582.1,737.8,621.2,1689.97,Paddy soils,,26.3 ,32.4 ,56.0 ,5.2 ,83 ,29 ,87 ,4823 ,7337 
102,ER-SC,ERSC0102,2007,ERSC03,late_maturity,26.51182796,29.67311828,24.21182796,2465.6,1535.6,790.3,576.3,1614.28,Paddy soils,,26.6,11.5,82,5.7,82.5,28.5,87,3324,6009
103,ER-SC,ERSC0103,2008,ERSC03,medium_maturity,25.27391304,28.25108696,23.43043478,2325.2,1405.2,1695.2,309.3,1166.25,Paddy soils,,18.0 ,38.7 ,43.2 ,5.2 ,138 ,45 ,144 ,3776 ,5919 
104,ER-SC,ERSC0104,2007,ERSC04,medium_maturity,26.87428571,31.19714286,23.42,2821.8,1771.8,807,531.1,1950.63,Paddy soils,,52.3 ,7.9 ,76.0 ,4.9 ,195 ,75 ,150 ,6120 ,8340 
105,ER-SC,ERSC0105,2007,ERSC04,late_maturity,26.84807692,31.18173077,23.39230769,2792.2,1752.2,807,525.4,1928.53,Paddy soils,,54.7,14.6,64,5.4,150,60,120,5628,7150.5
106,ER-SC,ERSC0106,2008,ERSC04,late_maturity,25.97142857,30.0047619,23.25619048,2727,1677,1082.5,372.2,1538.66,Paddy soils,,60.5,11.2,87,5.8,120,45,90,4980,6679.5
107,ER-SC,ERSC0107,2007,ERSC04,late_maturity,25.39381443,29.65876289,21.88762887,2463.2,1493.2,706.8,443,1686.6,Paddy soils,,43.2,14.8,70,4.8,195,75,150,4999.5,6414
108,ER-SC,ERSC0108,2008,ERSC04,late_maturity,25.97142857,30.0047619,23.25619048,2727,1677,1082.5,372.2,1538.66,Paddy soils,,44.8,10.1,97,5.2,195,75,150,5779.5,7347
109,ER-SC,ERSC0109,2008,ERSC04,late_maturity,25.97142857,30.0047619,23.25619048,2727,1677,1082.5,372.2,1538.66,Paddy soils,,77.2,44.6,124,5.9,195,75,150,6351,7900.5
110,ER-SC,ERSC0110,2009,ERSC04,late_maturity,26.58130841,30.77570093,23.76635514,2844.2,1774.2,1108,464,1748.03,Paddy soils,,56.7,19.9,68,5.5,150,60,120,4602,6121.5
111,ER-SC,ERSC0111,2007,ERSC04,late_maturity,26.76111111,31.08888889,23.29814815,2890.2,1810.2,807,536.6,1995.48,Paddy soils,,43.3,33.6,108,5,120,45,90,5494.5,6292.5
112,ER-SC,ERSC0112,2007,ERSC04,late_maturity,26.91826923,31.26442308,23.45096154,2799.5,1759.5,806.8,531.1,1943.89,Paddy soils,,49,10.8,36,5.7,150,60,120,6105,7719
113,ER-SC,ERSC0113,2008,ERSC04,late_maturity,25.97142857,30.0047619,23.25619048,2727,1677,1082.5,372.2,1538.66,Paddy soils,,40.4,28,56,6.4,150,60,120,4660.5,6979.5
114,ER-SC,ERSC0114,2009,ERSC04,late_maturity,26.58130841,30.77570093,23.76635514,2844.2,1774.2,1108,464,1748.03,Paddy soils,,41,31,34,6.1,120,45,90,5205,6825
115,ER-SC,ERSC0115,2007,ERSC04,late_maturity,26.52636364,30.85272727,23.05363636,2917.9,1817.9,809.9,545,2012.77,Paddy soils,,40.3,12,46,6,195,75,150,4758,8346
116,ER-SC,ERSC0116,2007,ERSC04,late_maturity,26.69082569,31.01743119,23.2293578,2909.3,1819.3,809.9,539.3,2005.61,Paddy soils,,43.2,14.7,92,5.2,150,60,120,4312.5,6622.5
117,ER-SC,ERSC0117,2009,ERSC04,late_maturity,26.58130841,30.77570093,23.76635514,2844.2,1774.2,1108,464,1748.03,Paddy soils,,44.7,6.3,29,4.9,195,75,150,5794.5,6450
118,ER-SC,ERSC0118,2006,ERSC04,late_maturity,26.68691589,31.72897196,23.53084112,2855.5,1785.5,488,515.5,1503.12,Paddy soils,,42.9,14.1,55,5.2,210,90,210,5655,8979
119,ER-SC,ERSC0119,2006,ERSC04,late_maturity,26.68691589,31.72897196,23.53084112,2855.5,1785.5,488,515.5,1503.12,Paddy soils,,24.9,14.2,49,5.6,150,60,120,3837,6882
