Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
1362,M-NCP,MNCP1362,2009,MNCP03,medium_maturity,24.7 ,30.0 ,20.2 ,2744.1 ,1634.1 ,328.9 ,785.8 ,1946.9 ,Cinnamon soils,loamy sand,17.4 ,23.2 ,104.0 ,7.2 ,150 ,0 ,0 ,6704 ,8058 
1363,M-NCP,MNCP1363,2008,MNCP03,medium_maturity,24.8 ,29.6 ,21.0 ,2182.7 ,1302.7 ,427.4 ,437.0 ,1282.2 ,Fluvo-aquic soils,loam,13.6 ,35.4 ,140.0 ,7.2 ,195 ,113 ,113 ,7019 ,10124 
1364,M-NCP,MNCP1364,2009,MNCP03,medium_maturity,24.7 ,29.8 ,20.4 ,2571.7 ,1531.7 ,328.9 ,711.7 ,1777.2 ,Cinnamon soils,sandy clay loam,18.9 ,14.2 ,86.0 ,7.0 ,195 ,60 ,90 ,5618 ,8078 
1365,M-NCP,MNCP1365,2007,MNCP03,medium_maturity,23.9 ,28.5 ,20.5 ,2847.7 ,1657.7 ,640.6 ,740.8 ,1952.2 ,Brown earths,loam,8.1 ,14.9 ,68.0 ,4.7 ,195 ,60 ,90 ,3120 ,7680 
1366,M-NCP,MNCP1366,2008,MNCP03,medium_maturity,23.9 ,28.5 ,20.5 ,2847.7 ,1657.7 ,640.6 ,740.8 ,1952.2 ,Brown earths,loam,14.0 ,61.4 ,52.0 ,5.2 ,150 ,90 ,120 ,4143 ,7323 
1367,M-NCP,MNCP1367,2007,MNCP03,medium_maturity,23.8 ,28.2 ,20.6 ,2233.5 ,1293.5 ,665.9 ,521.9 ,1481.3 ,Brown earths,clay,8.2 ,31.4 ,58.0 ,6.2 ,195 ,120 ,90 ,4658 ,8268 
1368,M-NCP,MNCP1368,2008,MNCP03,medium_maturity,23.0 ,27.7 ,19.8 ,2810.4 ,1590.4 ,702.8 ,681.6 ,1856.6 ,Brown earths,clay,8.4 ,11.3 ,91.0 ,6.3 ,195 ,60 ,93 ,4875 ,8805 
1369,M-NCP,MNCP1369,2008,MNCP03,medium_maturity,23.1 ,27.7 ,19.8 ,2791.6 ,1581.6 ,703.6 ,675.3 ,1848.7 ,Brown earths,loam,10.7 ,52.8 ,51.0 ,5.8 ,195 ,60 ,90 ,3480 ,7230 
1370,M-NCP,MNCP1370,2007,MNCP03,medium_maturity,23.1 ,27.7 ,19.9 ,2774.1 ,1574.1 ,703.6 ,667.5 ,1833.3 ,Brown earths,loam,13.7 ,9.0 ,84.0 ,6.8 ,195 ,60 ,90 ,4887 ,7986 
1371,M-NCP,MNCP1371,2007,MNCP03,medium_maturity,24.7 ,29.9 ,20.2 ,2790.6 ,1660.6 ,434.1 ,604.7 ,1692.6 ,Cinnamon soils,loamy sand,15.7 ,15.3 ,112.0 ,7.5 ,195 ,60 ,90 ,6345 ,7071 
1372,M-NCP,MNCP1372,2008,MNCP03,medium_maturity,24.2 ,29.3 ,20.2 ,2733.4 ,1603.4 ,571.7 ,594.8 ,1669.1 ,Cinnamon soils,loamy sand,15.7 ,15.3 ,112.0 ,7.5 ,180 ,60 ,90 ,6381 ,7146 
1373,M-NCP,MNCP1373,2009,MNCP03,medium_maturity,24.5 ,29.9 ,19.7 ,2772.9 ,1642.9 ,375.2 ,776.3 ,1959.6 ,Cinnamon soils,loamy sand,15.7 ,15.3 ,112.0 ,7.5 ,195 ,60 ,90 ,5496 ,7499 
1374,M-NCP,MNCP1374,2007,MNCP03,medium_maturity,24.7 ,29.9 ,20.2 ,2790.6 ,1660.6 ,434.1 ,604.7 ,1692.6 ,Cinnamon soils,loamy sand,14.5 ,44.0 ,150.0 ,7.2 ,195 ,60 ,90 ,3545 ,5813 
1375,M-NCP,MNCP1375,2008,MNCP03,medium_maturity,24.2 ,29.3 ,20.2 ,2733.4 ,1603.4 ,571.7 ,594.8 ,1669.1 ,Cinnamon soils,loamy sand,14.5 ,44.0 ,150.0 ,7.2 ,195 ,60 ,90 ,3845 ,5532 
1376,M-NCP,MNCP1376,2009,MNCP03,medium_maturity,24.5 ,29.9 ,19.7 ,2772.9 ,1642.9 ,375.2 ,776.3 ,1959.6 ,Cinnamon soils,loamy sand,13.8 ,24.2 ,187.0 ,5.5 ,195 ,60 ,90 ,4511 ,6474 
1377,M-NCP,MNCP1377,2007,MNCP03,medium_maturity,24.7 ,29.9 ,20.2 ,2790.6 ,1660.6 ,434.1 ,604.7 ,1692.6 ,Cinnamon soils,loamy sand,19.0 ,38.6 ,147.0 ,8.0 ,195 ,60 ,90 ,6591 ,8085 
1378,M-NCP,MNCP1378,2008,MNCP03,medium_maturity,24.2 ,29.3 ,20.2 ,2733.4 ,1603.4 ,571.7 ,594.8 ,1669.1 ,Cinnamon soils,loamy sand,19.0 ,38.6 ,147.0 ,8.0 ,180 ,60 ,90 ,6141 ,7913 
1379,M-NCP,MNCP1379,2009,MNCP03,medium_maturity,24.5 ,29.9 ,19.7 ,2772.9 ,1642.9 ,375.2 ,776.3 ,1959.6 ,Cinnamon soils,loamy sand,19.0 ,38.6 ,147.0 ,8.0 ,195 ,60 ,90 ,5057 ,6800 
1380,M-NCP,MNCP1380,2007,MNCP03,medium_maturity,24.7 ,29.9 ,20.2 ,2790.6 ,1660.6 ,434.1 ,604.7 ,1692.6 ,Cinnamon soils,loam,18.5 ,52.7 ,113.0 ,4.6 ,195 ,60 ,90 ,4202 ,6857 
1381,M-NCP,MNCP1381,2008,MNCP03,medium_maturity,24.2 ,29.3 ,20.2 ,2733.4 ,1603.4 ,571.7 ,594.8 ,1669.1 ,Cinnamon soils,loam,18.5 ,52.7 ,113.0 ,4.6 ,195 ,60 ,90 ,5769 ,8175 
1382,M-NCP,MNCP1382,2009,MNCP03,medium_maturity,24.5 ,29.9 ,19.7 ,2772.9 ,1642.9 ,375.2 ,776.3 ,1959.6 ,Cinnamon soils,loam,18.5 ,52.7 ,53.0 ,4.6 ,195 ,60 ,90 ,5783 ,7341 
1383,M-NCP,MNCP1383,2007,MNCP03,medium_maturity,24.7 ,29.9 ,20.2 ,2790.6 ,1660.6 ,434.1 ,604.7 ,1692.6 ,Brown earths,loam,13.8 ,24.5 ,187.0 ,5.5 ,180 ,60 ,90 ,5088 ,6173 
1384,M-NCP,MNCP1384,2008,MNCP03,medium_maturity,24.2 ,29.3 ,20.2 ,2733.4 ,1603.4 ,571.7 ,594.8 ,1669.1 ,Brown earths,loam,13.8 ,14.5 ,187.0 ,5.5 ,195 ,60 ,90 ,4385 ,6125 
1385,M-NCP,MNCP1385,2009,MNCP03,medium_maturity,24.5 ,29.9 ,19.7 ,2772.9 ,1642.9 ,375.2 ,776.3 ,1959.6 ,Brown earths,loam,9.3 ,26.5 ,75.0 ,7.8 ,195 ,60 ,90 ,5309 ,6819 
1386,M-NCP,MNCP1386,2007,MNCP03,medium_maturity,24.7 ,29.9 ,20.2 ,2790.6 ,1660.6 ,434.1 ,604.7 ,1692.6 ,Brown earths,loam,15.7 ,15.3 ,112.0 ,7.5 ,195 ,60 ,90 ,3231 ,5633 
1387,M-NCP,MNCP1387,2007,MNCP03,medium_maturity,25.5 ,30.5 ,21.2 ,2831.1 ,1721.1 ,614.8 ,697.8 ,1855.8 ,Cinnamon soils,loam,16.3 ,35.5 ,182.0 ,7.6 ,195 ,60 ,90 ,6497 ,7790 
1388,M-NCP,MNCP1388,2009,MNCP03,late_maturity,25.5 ,30.6 ,21.0 ,2909.9 ,1769.9 ,333.4 ,777.5 ,1991.5 ,Cinnamon soils,loam,13.5 ,11.2 ,121.0 ,7.5 ,195 ,60 ,90 ,7403 ,7574 
1389,M-NCP,MNCP1389,2007,MNCP03,medium_maturity,24.9 ,29.9 ,20.8 ,3117.6 ,1867.6 ,662.9 ,738.9 ,1982.8 ,Cinnamon soils,loam,15.9 ,27.9 ,218.0 ,7.7 ,195 ,60 ,90 ,6059 ,6662 
1390,M-NCP,MNCP1390,2009,MNCP03,medium_maturity,25.5 ,30.5 ,21.1 ,2807.6 ,1707.6 ,333.4 ,735.0 ,1894.7 ,Cinnamon soils,loamy sand,13.5 ,12.4 ,130.0 ,7.7 ,195 ,60 ,90 ,6365 ,8240 
1391,M-NCP,MNCP1391,2009,MNCP03,medium_maturity,25.5 ,30.4 ,21.2 ,2672.7 ,1622.7 ,336.1 ,673.5 ,1758.1 ,Fluvo-aquic soils,loam,17.7 ,12.5 ,115.0 ,7.5 ,195 ,60 ,90 ,9840 ,10530 
1392,M-NCP,MNCP1392,2007,MNCP03,medium_maturity,25.6 ,30.7 ,21.3 ,2742.4 ,1672.4 ,592.6 ,683.6 ,1819.0 ,Cinnamon soils,loam,16.3 ,14.2 ,182.0 ,7.6 ,195 ,60 ,90 ,5265 ,8504 
1393,M-NCP,MNCP1393,2007,MNCP03,medium_maturity,25.1 ,30.1 ,21.0 ,3042.5 ,1832.5 ,642.6 ,738.9 ,1962.4 ,Cinnamon soils,loam,16.5 ,16.5 ,125.0 ,7.5 ,195 ,60 ,90 ,5646 ,6215 
1394,M-NCP,MNCP1394,2009,MNCP03,medium_maturity,25.2 ,30.1 ,20.9 ,2544.9 ,1534.9 ,313.4 ,638.8 ,1649.7 ,Cinnamon soils,loam,12.6 ,12.5 ,142.0 ,7.7 ,195 ,60 ,90 ,7253 ,8903 
1395,M-NCP,MNCP1395,2009,MNCP03,medium_maturity,25.1 ,30.1 ,20.8 ,2687.9 ,1617.9 ,336.1 ,672.6 ,1737.4 ,Cinnamon soils,loam,14.2 ,14.6 ,125.0 ,7.5 ,195 ,60 ,90 ,9482 ,10110 
1396,M-NCP,MNCP1396,2008,MNCP03,medium_maturity,23.6 ,28.7 ,19.7 ,2782.7 ,1602.7 ,523.6 ,670.8 ,1814.1 ,Cinnamon soils,loam,18.4 ,28.5 ,159.0 ,7.0 ,195 ,60 ,90 ,6932 ,9426 
1397,M-NCP,MNCP1397,2009,MNCP03,medium_maturity,24.6 ,30.1 ,20.2 ,2634.2 ,1564.2 ,466.2 ,752.1 ,1896.0 ,Cinnamon soils,loam,18.2 ,28.1 ,154.0 ,7.2 ,195 ,60 ,90 ,6863 ,9135 
1398,M-NCP,MNCP1398,2008,MNCP03,medium_maturity,23.1 ,28.3 ,19.1 ,2722.7 ,1542.7 ,523.2 ,671.5 ,1765.5 ,Cinnamon soils,loam,15.6 ,26.9 ,207.0 ,7.1 ,195 ,60 ,90 ,4358 ,6063 
1399,M-NCP,MNCP1399,2008,MNCP03,medium_maturity,23.1 ,28.3 ,19.1 ,2727.6 ,1547.6 ,523.2 ,673.9 ,1775.7 ,Cinnamon soils,sandy clay loam,11.4 ,22.7 ,179.0 ,7.0 ,195 ,60 ,90 ,5148 ,7917 
1400,M-NCP,MNCP1400,2009,MNCP03,medium_maturity,24.7 ,30.1 ,20.2 ,2543.2 ,1513.2 ,465.1 ,731.2 ,1833.0 ,Cinnamon soils,sandy clay loam,12.3 ,18.9 ,174.0 ,7.1 ,195 ,60 ,90 ,5234 ,7511 
1401,M-NCP,MNCP1401,2008,MNCP03,medium_maturity,23.1 ,28.4 ,19.1 ,2798.4 ,1588.4 ,523.2 ,695.3 ,1832.1 ,Cinnamon soils,loam,15.7 ,30.3 ,177.0 ,6.9 ,195 ,60 ,90 ,5127 ,8006 
1402,M-NCP,MNCP1402,2008,MNCP03,medium_maturity,23.1 ,28.3 ,19.1 ,2792.8 ,1582.8 ,523.2 ,698.1 ,1830.1 ,Cinnamon soils,loam,10.7 ,19.9 ,113.0 ,7.0 ,195 ,60 ,90 ,4370 ,6536 
1403,M-NCP,MNCP1403,2008,MNCP03,medium_maturity,23.5 ,28.2 ,19.5 ,2512.4 ,1442.4 ,628.6 ,743.6 ,1774.3 ,Brown earths,loam,11.3 ,34.1 ,121.0 ,6.0 ,195 ,105 ,195 ,6609 ,8135 
1404,M-NCP,MNCP1404,2008,MNCP03,medium_maturity,23.6 ,28.4 ,19.9 ,2766.8 ,1596.8 ,689.1 ,841.2 ,2085.8 ,Fluvo-aquic soils,clay,11.7 ,23.2 ,97.0 ,6.0 ,195 ,105 ,195 ,3063 ,5157 
1405,M-NCP,MNCP1405,2009,MNCP03,medium_maturity,24.0 ,29.2 ,19.4 ,2813.3 ,1643.3 ,411.5 ,947.1 ,2241.7 ,Brown earths,loam,12.8 ,54.3 ,175.0 ,5.4 ,195 ,75 ,150 ,3971 ,7865 
1406,M-NCP,MNCP1406,2009,MNCP03,medium_maturity,23.5 ,28.8 ,18.7 ,3075.2 ,1765.2 ,411.5 ,1072.3 ,2469.0 ,Brown earths,silt loam,10.8 ,33.2 ,88.0 ,5.2 ,195 ,75 ,150 ,4754 ,7427 
1407,M-NCP,MNCP1407,2009,MNCP03,medium_maturity,23.9 ,29.2 ,19.1 ,2966.4 ,1726.4 ,411.5 ,1024.7 ,2415.5 ,Brown earths,loamy sand,12.1 ,17.8 ,80.0 ,5.1 ,195 ,75 ,150 ,9402 ,10706 
1408,M-NCP,MNCP1408,2008,MNCP03,medium_maturity,22.6 ,25.9 ,19.9 ,2707.7 ,1507.7 ,723.8 ,740.6 ,1975.5 ,Fluvo-aquic soils,sandy clay loam,8.6 ,23.1 ,50.0 ,5.4 ,150 ,75 ,105 ,8741 ,10874 
1409,M-NCP,MNCP1409,2007,MNCP03,medium_maturity,23.2 ,26.5 ,20.6 ,2271.3 ,1291.3 ,836.2 ,501.6 ,1398.3 ,Fluvo-aquic soils,loam,10.1 ,31.0 ,77.0 ,5.3 ,195 ,15 ,150 ,5714 ,11499 
