Sort,Crop,NO,Year,Province,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
40,W-NCP,WNCP0040,2008,WNCP01,9.0 ,15.0 ,3.9 ,2319.0 ,860.9 ,104.1 ,1512.5 ,3010.3 ,small_spike,Cinnamon soils,loam,15.4 ,26.2 ,65.0 ,7.9 ,210 ,135 ,120 ,5144 ,6705 
41,W-NCP,WNCP0041,2007,WNCP01,8.5 ,13.9 ,3.8 ,2289.1 ,807.1 ,170.3 ,1346.6 ,2865.3 ,small_spike,Cinnamon soils,silt loam,8.5 ,15.0 ,39.0 ,7.9 ,210 ,105 ,90 ,4304 ,6248 
42,W-NCP,WNCP0042,2007,WNCP01,8.2 ,13.7 ,3.6 ,2194.1 ,762.1 ,170.3 ,1320.7 ,2801.6 ,small_spike,Cinnamon soils,loamy sand,13.6 ,38.1 ,76.0 ,8.2 ,210 ,105 ,90 ,4427 ,6092 
43,W-NCP,WNCP0043,2008,WNCP01,9.4 ,15.3 ,4.3 ,2464.1 ,946.0 ,119.3 ,1537.7 ,3095.0 ,small_spike,Cinnamon soils,silt loam,8.5 ,15.0 ,39.0 ,7.9 ,210 ,105 ,90 ,3717 ,5720 
44,W-NCP,WNCP0044,2008,WNCP01,9.1 ,15.1 ,4.0 ,2354.1 ,886.0 ,107.2 ,1513.7 ,3033.1 ,small_spike,Cinnamon soils,loamy sand,13.6 ,38.1 ,76.0 ,8.2 ,210 ,105 ,90 ,3284 ,5685 
45,W-NCP,WNCP0045,2008,WNCP01,9.2 ,15.7 ,3.7 ,2427.7 ,950.3 ,137.1 ,1688.3 ,3215.6 ,small_spike,Fluvo-aquic soils,silt loam,9.6 ,26.4 ,38.0 ,8.3 ,210 ,90 ,90 ,2961 ,5516 
46,W-NCP,WNCP0046,2008,WNCP01,9.4 ,15.6 ,4.3 ,2431.0 ,920.4 ,80.8 ,1704.8 ,3236.4 ,small_spike,Cinnamon soils,loam,19.8 ,71.4 ,134.0 ,8.0 ,73 ,150 ,150 ,3507 ,6105 
47,W-NCP,WNCP0047,2008,WNCP01,9.2 ,15.4 ,4.1 ,2361.5 ,880.9 ,80.8 ,1676.7 ,3174.4 ,small_spike,Cinnamon soils,loamy sand,15.2 ,25.5 ,111.0 ,8.0 ,60 ,150 ,120 ,5364 ,6147 
48,W-NCP,WNCP0048,2006,WNCP01,9.7 ,15.4 ,5.0 ,2513.2 ,973.8 ,141.0 ,1423.5 ,2932.7 ,small_spike,Cinnamon soils,loam,23.5 ,52.0 ,125.0 ,8.5 ,73 ,150 ,150 ,5067 ,6534 
49,W-NCP,WNCP0049,2006,WNCP01,9.9 ,15.6 ,5.1 ,2556.8 ,1007.4 ,141.0 ,1437.4 ,2979.8 ,small_spike,Cinnamon soils,loam,24.2 ,79.0 ,111.0 ,8.5 ,73 ,150 ,150 ,5802 ,6656 
